construction,slot_id,slot_index,cc_count,cxn_count,sem_count,str_count,inf_count,ccs
engLME_AdjectivalwithPARTNERConstruction,engLME_AdjectivalwithPARTNERConstruction_3,3,49,28,0,21,0,"cxn:attributive-phrase, cxn:adjectival-phrase, str:flagging, str:adposition, str:preposition, cxn:referring-phrase, cxn:head, cxn:attributive-phrase, cxn:adjectival-phrase, str:flagging, str:adposition, str:preposition, cxn:referring-phrase, cxn:head, cxn:attributive-phrase, cxn:adjectival-phrase, str:flagging, str:adposition, str:preposition, cxn:referring-phrase, cxn:head, cxn:attributive-phrase, cxn:adjectival-phrase, str:flagging, str:adposition, str:preposition, cxn:referring-phrase, cxn:head, cxn:attributive-phrase, cxn:adjectival-phrase, str:flagging, str:adposition, str:preposition, cxn:referring-phrase, cxn:head, cxn:attributive-phrase, cxn:adjectival-phrase, str:flagging, str:adposition, str:preposition, cxn:referring-phrase, cxn:head, cxn:attributive-phrase, cxn:adjectival-phrase, str:flagging, str:adposition, str:preposition, cxn:referring-phrase, cxn:head"
engLME_AdjectivalwithPARTNERConstruction,engLME_AdjectivalwithPARTNERConstruction,1,16,8,0,4,4,"cxn:referring-phrase, cxn:modification-construction, inf:modification, str:word-order, cxn:referring-phrase, cxn:modification-construction, inf:modification, str:word-order, cxn:referring-phrase, cxn:modification-construction, inf:modification, str:word-order, cxn:referring-phrase, cxn:modification-construction, inf:modification, str:word-order"
engLME_AdjectivalwithPARTNERConstruction,engLME_AdjectivalwithPARTNERConstruction_1,1,1,1,0,0,0,cxn:referent-expression
engLME_AdjectivalwithPARTNERConstruction,engLME_AdjectivalwithPARTNERConstruction_2,2,9,6,3,0,0,"cxn:modifier, cxn:adjective, sem:property-concept, cxn:modifier, cxn:adjective, sem:property-concept, cxn:modifier, cxn:adjective, sem:property-concept"
engLME_AdjectiveConstruction,engLME_AdjectiveConstruction_1,1,25,20,5,0,0,"cxn:modifier, cxn:attributive-phrase, cxn:adjectival-phrase, cxn:adjective, sem:property-concept, cxn:modifier, cxn:attributive-phrase, cxn:adjectival-phrase, cxn:adjective, sem:property-concept, cxn:modifier, cxn:attributive-phrase, cxn:adjectival-phrase, cxn:adjective, sem:property-concept, cxn:modifier, cxn:attributive-phrase, cxn:adjectival-phrase, cxn:adjective, sem:property-concept, cxn:modifier, cxn:attributive-phrase, cxn:adjectival-phrase, cxn:adjective, sem:property-concept"
engLME_AdjectiveConstruction,engLME_AdjectiveConstruction,1,9,6,0,0,3,"inf:modification, cxn:modification-construction, cxn:referring-phrase, inf:modification, cxn:modification-construction, cxn:referring-phrase, inf:modification, cxn:modification-construction, cxn:referring-phrase"
engLME_AdjectiveConstruction,engLME_AdjectiveConstruction_2,2,1,1,0,0,0,cxn:referent-expression
engLME_ComparativeConstruction,engLME_ComparativeConstruction_1,1,9,3,3,3,0,"cxn:comparative-form, sem:comparative-degree, str:degree-marker, cxn:comparative-form, sem:comparative-degree, str:degree-marker, cxn:comparative-form, sem:comparative-degree, str:degree-marker"
engLME_ComparativeConstruction,engLME_ComparativeConstruction_3,3,1,0,0,1,0,str:conjunction
engLME_ComparativeConstruction,engLME_ComparativeConstruction,2,9,3,3,3,0,"cxn:comparative-construction, sem:comparative-relation, str:particle-comparative, cxn:comparative-construction, sem:comparative-relation, str:particle-comparative, cxn:comparative-construction, sem:comparative-relation, str:particle-comparative"
engLME_ComparativeConstruction,engLME_ComparativeConstruction_2,2,9,0,9,0,0,"sem:entity, sem:event, sem:comparee, sem:entity, sem:event, sem:comparee, sem:entity, sem:event, sem:comparee"
engLME_ComparativeConstruction,engLME_ComparativeConstruction_4,4,4,0,2,0,2,"inf:reference, sem:standard, inf:reference, sem:standard"
engLME_GeneralPostmodifierofAdjectiveConstruction,engLME_GeneralPostmodifierofAdjectiveConstruction_2,2,9,3,3,0,3,"cxn:admodifier, inf:admodification, sem:degree, cxn:admodifier, inf:admodification, sem:degree, cxn:admodifier, inf:admodification, sem:degree"
engLME_GeneralPostmodifierofAdjectiveConstruction,engLME_GeneralPostmodifierofAdjectiveConstruction,1,25,15,0,5,5,"inf:modification, cxn:adjectival-phrase, cxn:adjective-modification-construction, cxn:attributive-phrase, str:word-order, inf:modification, cxn:adjectival-phrase, cxn:adjective-modification-construction, cxn:attributive-phrase, str:word-order, inf:modification, cxn:adjectival-phrase, cxn:adjective-modification-construction, cxn:attributive-phrase, str:word-order, inf:modification, cxn:adjectival-phrase, cxn:adjective-modification-construction, cxn:attributive-phrase, str:word-order, inf:modification, cxn:adjectival-phrase, cxn:adjective-modification-construction, cxn:attributive-phrase, str:word-order"
engLME_GeneralPostmodifierofAdjectiveConstruction,engLME_GeneralPostmodifierofAdjectiveConstruction_1,1,9,6,3,0,0,"cxn:modifier, cxn:adjective, sem:property-concept, cxn:modifier, cxn:adjective, sem:property-concept, cxn:modifier, cxn:adjective, sem:property-concept"
engLME_MoreThanComparisonConstructiontype1,engLME_MoreThanComparisonConstructiontype1_1,1,64,32,16,8,8,"cxn:attributive-phrase, cxn:adjectival-phrase, cxn:comparative-form, sem:comparative-degree, cxn:admodifier, inf:admodification, sem:degree, str:degree-modifier, cxn:attributive-phrase, cxn:adjectival-phrase, cxn:comparative-form, sem:comparative-degree, cxn:admodifier, inf:admodification, sem:degree, str:degree-modifier, cxn:attributive-phrase, cxn:adjectival-phrase, cxn:comparative-form, sem:comparative-degree, cxn:admodifier, inf:admodification, sem:degree, str:degree-modifier, cxn:attributive-phrase, cxn:adjectival-phrase, cxn:comparative-form, sem:comparative-degree, cxn:admodifier, inf:admodification, sem:degree, str:degree-modifier, cxn:attributive-phrase, cxn:adjectival-phrase, cxn:comparative-form, sem:comparative-degree, cxn:admodifier, inf:admodification, sem:degree, str:degree-modifier, cxn:attributive-phrase, cxn:adjectival-phrase, cxn:comparative-form, sem:comparative-degree, cxn:admodifier, inf:admodification, sem:degree, str:degree-modifier, cxn:attributive-phrase, cxn:adjectival-phrase, cxn:comparative-form, sem:comparative-degree, cxn:admodifier, inf:admodification, sem:degree, str:degree-modifier, cxn:attributive-phrase, cxn:adjectival-phrase, cxn:comparative-form, sem:comparative-degree, cxn:admodifier, inf:admodification, sem:degree, str:degree-modifier"
engLME_MoreThanComparisonConstructiontype1,engLME_MoreThanComparisonConstructiontype1_2,2,16,8,4,0,4,"cxn:adjective, sem:property-concept, cxn:modifier, inf:modification, cxn:adjective, sem:property-concept, cxn:modifier, inf:modification, cxn:adjective, sem:property-concept, cxn:modifier, inf:modification, cxn:adjective, sem:property-concept, cxn:modifier, inf:modification"
engLME_MoreThanComparisonConstructiontype1,engLME_MoreThanComparisonConstructiontype1,2,25,5,10,10,0,"cxn:comparative-construction, str:particle-comparative, str:independent-strategy, sem:degree, sem:comparative-relation, cxn:comparative-construction, str:particle-comparative, str:independent-strategy, sem:degree, sem:comparative-relation, cxn:comparative-construction, str:particle-comparative, str:independent-strategy, sem:degree, sem:comparative-relation, cxn:comparative-construction, str:particle-comparative, str:independent-strategy, sem:degree, sem:comparative-relation, cxn:comparative-construction, str:particle-comparative, str:independent-strategy, sem:degree, sem:comparative-relation"
engLME_MoreThanComparisonConstructiontype1,engLME_MoreThanComparisonConstructiontype1_3,3,16,0,16,0,0,"sem:entity, sem:object-concept, sem:comparee, sem:gradable-predicative-scale, sem:entity, sem:object-concept, sem:comparee, sem:gradable-predicative-scale, sem:entity, sem:object-concept, sem:comparee, sem:gradable-predicative-scale, sem:entity, sem:object-concept, sem:comparee, sem:gradable-predicative-scale"
engLME_MoreThanComparisonConstructiontype1,engLME_MoreThanComparisonConstructiontype1_4,4,1,0,0,1,0,str:conjunction
engLME_MoreThanComparisonConstructiontype1,engLME_MoreThanComparisonConstructiontype1_5,5,4,0,2,0,2,"inf:reference, sem:standard, inf:reference, sem:standard"
engLME_MoreThanComparisonConstructiontype2,engLME_MoreThanComparisonConstructiontype2_1,1,16,12,0,0,4,"cxn:attributive-phrase, cxn:modifier, cxn:quantifier-term, inf:modification, cxn:attributive-phrase, cxn:modifier, cxn:quantifier-term, inf:modification, cxn:attributive-phrase, cxn:modifier, cxn:quantifier-term, inf:modification, cxn:attributive-phrase, cxn:modifier, cxn:quantifier-term, inf:modification"
engLME_MoreThanComparisonConstructiontype2,engLME_MoreThanComparisonConstructiontype2_4,4,4,0,2,0,2,"inf:reference, sem:standard, inf:reference, sem:standard"
engLME_MoreThanComparisonConstructiontype2,engLME_MoreThanComparisonConstructiontype2_2,2,16,0,16,0,0,"sem:comparee, sem:entity, sem:gradable-predicative-scale, sem:object-concept, sem:comparee, sem:entity, sem:gradable-predicative-scale, sem:object-concept, sem:comparee, sem:entity, sem:gradable-predicative-scale, sem:object-concept, sem:comparee, sem:entity, sem:gradable-predicative-scale, sem:object-concept"
engLME_MoreThanComparisonConstructiontype2,engLME_MoreThanComparisonConstructiontype2,3,25,5,15,5,0,"cxn:comparative-construction, sem:comparative-relation, sem:degree, sem:gradable-predicative-scale, str:particle-comparative, cxn:comparative-construction, sem:comparative-relation, sem:degree, sem:gradable-predicative-scale, str:particle-comparative, cxn:comparative-construction, sem:comparative-relation, sem:degree, sem:gradable-predicative-scale, str:particle-comparative, cxn:comparative-construction, sem:comparative-relation, sem:degree, sem:gradable-predicative-scale, str:particle-comparative, cxn:comparative-construction, sem:comparative-relation, sem:degree, sem:gradable-predicative-scale, str:particle-comparative"
engLME_MoreThanComparisonConstructiontype2,engLME_MoreThanComparisonConstructiontype2_3,3,1,0,0,1,0,str:conjunction
engLME_MoreThanComparisonConstructiontype3,engLME_MoreThanComparisonConstructiontype3_1,1,16,12,0,0,4,"cxn:attributive-phrase, cxn:modifier, cxn:quantifier-term, inf:modification, cxn:attributive-phrase, cxn:modifier, cxn:quantifier-term, inf:modification, cxn:attributive-phrase, cxn:modifier, cxn:quantifier-term, inf:modification, cxn:attributive-phrase, cxn:modifier, cxn:quantifier-term, inf:modification"
engLME_MoreThanComparisonConstructiontype3,engLME_MoreThanComparisonConstructiontype3,1,16,4,8,4,0,"cxn:comparative-construction, sem:comparative-relation, sem:gradable-predicative-scale, str:particle-comparative, cxn:comparative-construction, sem:comparative-relation, sem:gradable-predicative-scale, str:particle-comparative, cxn:comparative-construction, sem:comparative-relation, sem:gradable-predicative-scale, str:particle-comparative, cxn:comparative-construction, sem:comparative-relation, sem:gradable-predicative-scale, str:particle-comparative"
engLME_MoreThanComparisonConstructiontype3,engLME_MoreThanComparisonConstructiontype3_2,2,16,0,16,0,0,"sem:comparee, sem:entity, sem:gradable-predicative-scale, sem:object-concept, sem:comparee, sem:entity, sem:gradable-predicative-scale, sem:object-concept, sem:comparee, sem:entity, sem:gradable-predicative-scale, sem:object-concept, sem:comparee, sem:entity, sem:gradable-predicative-scale, sem:object-concept"
engLME_MoreThanComparisonConstructiontype3,engLME_MoreThanComparisonConstructiontype3_3,3,1,0,0,1,0,str:conjunction
engLME_MoreThanComparisonConstructiontype3,engLME_MoreThanComparisonConstructiontype3_4,4,4,0,2,0,2,"inf:reference, sem:standard, inf:reference, sem:standard"
engLME_MostLeastConstruction,engLME_MostLeastConstruction_1,1,121,66,22,11,22,"cxn:attributive-phrase, cxn:adjectival-phrase, cxn:admodifier, inf:admodification, str:degree-modifier, cxn:superlative-form, sem:superlative-degree, cxn:modifier, inf:modification, cxn:adjective, sem:property-concept, cxn:attributive-phrase, cxn:adjectival-phrase, cxn:admodifier, inf:admodification, str:degree-modifier, cxn:superlative-form, sem:superlative-degree, cxn:modifier, inf:modification, cxn:adjective, sem:property-concept, cxn:attributive-phrase, cxn:adjectival-phrase, cxn:admodifier, inf:admodification, str:degree-modifier, cxn:superlative-form, sem:superlative-degree, cxn:modifier, inf:modification, cxn:adjective, sem:property-concept, cxn:attributive-phrase, cxn:adjectival-phrase, cxn:admodifier, inf:admodification, str:degree-modifier, cxn:superlative-form, sem:superlative-degree, cxn:modifier, inf:modification, cxn:adjective, sem:property-concept, cxn:attributive-phrase, cxn:adjectival-phrase, cxn:admodifier, inf:admodification, str:degree-modifier, cxn:superlative-form, sem:superlative-degree, cxn:modifier, inf:modification, cxn:adjective, sem:property-concept, cxn:attributive-phrase, cxn:adjectival-phrase, cxn:admodifier, inf:admodification, str:degree-modifier, cxn:superlative-form, sem:superlative-degree, cxn:modifier, inf:modification, cxn:adjective, sem:property-concept, cxn:attributive-phrase, cxn:adjectival-phrase, cxn:admodifier, inf:admodification, str:degree-modifier, cxn:superlative-form, sem:superlative-degree, cxn:modifier, inf:modification, cxn:adjective, sem:property-concept, cxn:attributive-phrase, cxn:adjectival-phrase, cxn:admodifier, inf:admodification, str:degree-modifier, cxn:superlative-form, sem:superlative-degree, cxn:modifier, inf:modification, cxn:adjective, sem:property-concept, cxn:attributive-phrase, cxn:adjectival-phrase, cxn:admodifier, inf:admodification, str:degree-modifier, cxn:superlative-form, sem:superlative-degree, cxn:modifier, inf:modification, cxn:adjective, sem:property-concept, cxn:attributive-phrase, cxn:adjectival-phrase, cxn:admodifier, inf:admodification, str:degree-modifier, cxn:superlative-form, sem:superlative-degree, cxn:modifier, inf:modification, cxn:adjective, sem:property-concept, cxn:attributive-phrase, cxn:adjectival-phrase, cxn:admodifier, inf:admodification, str:degree-modifier, cxn:superlative-form, sem:superlative-degree, cxn:modifier, inf:modification, cxn:adjective, sem:property-concept"
engLME_MostLeastConstruction,engLME_MostLeastConstruction,1,4,4,0,0,0,"cxn:referring-phrase, cxn:modification-construction, cxn:referring-phrase, cxn:modification-construction"
engLME_MostLeastConstruction,engLME_MostLeastConstruction_2,2,4,2,2,0,0,"cxn:referent-expression, sem:object-concept, cxn:referent-expression, sem:object-concept"
engLME_PremodifierofAdjectiveConstruction,engLME_PremodifierofAdjectiveConstruction_2,2,16,12,4,0,0,"cxn:attributive-phrase, cxn:modifier, cxn:adjective, sem:property-concept, cxn:attributive-phrase, cxn:modifier, cxn:adjective, sem:property-concept, cxn:attributive-phrase, cxn:modifier, cxn:adjective, sem:property-concept, cxn:attributive-phrase, cxn:modifier, cxn:adjective, sem:property-concept"
engLME_PremodifierofAdjectiveConstruction,engLME_PremodifierofAdjectiveConstruction_1,1,9,3,3,0,3,"cxn:admodifier, sem:degree, inf:admodification, cxn:admodifier, sem:degree, inf:admodification, cxn:admodifier, sem:degree, inf:admodification"
engLME_PremodifierofAdjectiveConstruction,engLME_PremodifierofAdjectiveConstruction,2,16,12,0,0,4,"cxn:adjective-modification-construction, cxn:attributive-phrase, cxn:adjectival-phrase, inf:modification, cxn:adjective-modification-construction, cxn:attributive-phrase, cxn:adjectival-phrase, inf:modification, cxn:adjective-modification-construction, cxn:attributive-phrase, cxn:adjectival-phrase, inf:modification, cxn:adjective-modification-construction, cxn:attributive-phrase, cxn:adjectival-phrase, inf:modification"
engLME_SuperlativeConstruction,engLME_SuperlativeConstruction,0,4,4,0,0,0,"cxn:referring-phrase, cxn:modification-construction, cxn:referring-phrase, cxn:modification-construction"
engLME_SuperlativeConstruction,engLME_SuperlativeConstruction_1,1,100,60,20,10,10,"cxn:modifier, inf:modification, cxn:modification-construction, cxn:attributive-phrase, cxn:adjectival-phrase, cxn:adjective, sem:property-concept, cxn:superlative-form, sem:superlative-degree, str:degree-marker, cxn:modifier, inf:modification, cxn:modification-construction, cxn:attributive-phrase, cxn:adjectival-phrase, cxn:adjective, sem:property-concept, cxn:superlative-form, sem:superlative-degree, str:degree-marker, cxn:modifier, inf:modification, cxn:modification-construction, cxn:attributive-phrase, cxn:adjectival-phrase, cxn:adjective, sem:property-concept, cxn:superlative-form, sem:superlative-degree, str:degree-marker, cxn:modifier, inf:modification, cxn:modification-construction, cxn:attributive-phrase, cxn:adjectival-phrase, cxn:adjective, sem:property-concept, cxn:superlative-form, sem:superlative-degree, str:degree-marker, cxn:modifier, inf:modification, cxn:modification-construction, cxn:attributive-phrase, cxn:adjectival-phrase, cxn:adjective, sem:property-concept, cxn:superlative-form, sem:superlative-degree, str:degree-marker, cxn:modifier, inf:modification, cxn:modification-construction, cxn:attributive-phrase, cxn:adjectival-phrase, cxn:adjective, sem:property-concept, cxn:superlative-form, sem:superlative-degree, str:degree-marker, cxn:modifier, inf:modification, cxn:modification-construction, cxn:attributive-phrase, cxn:adjectival-phrase, cxn:adjective, sem:property-concept, cxn:superlative-form, sem:superlative-degree, str:degree-marker, cxn:modifier, inf:modification, cxn:modification-construction, cxn:attributive-phrase, cxn:adjectival-phrase, cxn:adjective, sem:property-concept, cxn:superlative-form, sem:superlative-degree, str:degree-marker, cxn:modifier, inf:modification, cxn:modification-construction, cxn:attributive-phrase, cxn:adjectival-phrase, cxn:adjective, sem:property-concept, cxn:superlative-form, sem:superlative-degree, str:degree-marker, cxn:modifier, inf:modification, cxn:modification-construction, cxn:attributive-phrase, cxn:adjectival-phrase, cxn:adjective, sem:property-concept, cxn:superlative-form, sem:superlative-degree, str:degree-marker"
engLME_SuperlativeConstruction,engLME_SuperlativeConstruction_2,2,4,2,2,0,0,"cxn:referent-expression, sem:object-concept, cxn:referent-expression, sem:object-concept"
